id,userid,total,created
194,330,4760,01/03/2017 14:22
201,142,10395,01/03/2017 16:41
208,324,10395,01/03/2017 21:51
215,258,4165,02/03/2017 08:22
222,232,2940,02/03/2017 11:51
229,157,3290,02/03/2017 15:16
236,189,2730,02/03/2017 18:15
243,57,17850,03/03/2017 09:49
250,257,4830,03/03/2017 13:07
257,95,2093,03/03/2017 17:10
264,293,11970,03/03/2017 20:31
271,309,2093,03/03/2017 22:10
278,33,6790,04/03/2017 09:42
285,63,4165,04/03/2017 15:15
292,89,3290,04/03/2017 16:04
299,211,3290,04/03/2017 18:52
306,31,6230,04/03/2017 21:29
313,257,3115,05/03/2017 09:09
320,69,0,05/03/2017 15:38
327,530,2450,05/03/2017 18:35
334,540,0,06/03/2017 00:49
341,156,6230,06/03/2017 10:43
348,366,3962,06/03/2017 13:03
355,111,2450,06/03/2017 14:49
362,525,0,06/03/2017 17:02
369,207,6230,06/03/2017 19:15
376,83,3115,06/03/2017 21:29
383,305,3115,07/03/2017 00:05
390,579,22680,07/03/2017 10:31
397,83,2093,07/03/2017 14:13
404,206,1862,07/03/2017 15:36
411,549,0,07/03/2017 19:02
418,63,4900,07/03/2017 20:00
425,111,0,07/03/2017 23:04
432,111,6230,08/03/2017 11:48
439,645,0,08/03/2017 15:04
446,247,8925,08/03/2017 16:03
453,768,1862,08/03/2017 16:51
460,862,0,08/03/2017 17:40
467,69,3360,08/03/2017 19:21
474,58,3115,08/03/2017 20:17
481,187,0,08/03/2017 21:37
488,698,2450,08/03/2017 22:22
495,402,3850,09/03/2017 11:28
502,41,8925,09/03/2017 12:35
509,440,9345,09/03/2017 15:40
516,96,4970,09/03/2017 17:33
523,152,3150,09/03/2017 19:27
530,156,10395,09/03/2017 21:30
537,52,2100,10/03/2017 07:34
544,207,3325,10/03/2017 13:13
551,889,3150,10/03/2017 14:55
558,168,3724,10/03/2017 19:15
565,95,1862,10/03/2017 23:06
572,257,4375,11/03/2017 13:29
579,783,2660,11/03/2017 15:26
586,108,1575,11/03/2017 19:08
593,371,2100,11/03/2017 21:13
600,76,4599,12/03/2017 00:25
607,980,3276,12/03/2017 12:24
614,1153,0,12/03/2017 18:49
621,1013,0,13/03/2017 07:39
628,705,4011,13/03/2017 11:11
635,76,5460,13/03/2017 14:02
642,152,2450,13/03/2017 18:26
649,89,2730,13/03/2017 19:04
656,701,4725,13/03/2017 22:53
663,259,2450,14/03/2017 09:54
670,1193,0,14/03/2017 12:54
677,645,0,14/03/2017 16:35
684,257,0,14/03/2017 20:11
691,1193,9030,15/03/2017 08:45
698,1193,2450,15/03/2017 12:18
705,416,2800,15/03/2017 13:40
712,438,2800,15/03/2017 14:58
719,152,1925,15/03/2017 17:51
726,76,1890,15/03/2017 19:32
733,105,9030,15/03/2017 21:25
740,796,7448,16/03/2017 09:35
747,145,7700,16/03/2017 11:41
754,31,2800,16/03/2017 14:42
761,1278,1750,16/03/2017 19:06
768,212,2093,16/03/2017 19:50
775,76,6405,16/03/2017 21:16
782,257,4725,16/03/2017 23:39
789,519,7700,17/03/2017 10:50
796,52,4893,17/03/2017 12:36
803,648,2800,17/03/2017 13:42
810,188,2793,17/03/2017 14:46
817,31,5586,17/03/2017 16:00
824,1272,20650,17/03/2017 17:43
831,108,3556,17/03/2017 20:21
838,92,0,17/03/2017 22:16
845,181,5495,18/03/2017 10:57
852,613,5495,18/03/2017 15:09
859,330,18795,18/03/2017 17:45
866,1083,0,18/03/2017 21:05
873,801,3290,19/03/2017 00:22
880,151,3493,19/03/2017 14:17
887,140,8743,19/03/2017 19:23
894,1353,0,20/03/2017 07:41
901,991,4634,20/03/2017 13:40
908,645,1890,20/03/2017 16:02
915,1487,4900,20/03/2017 17:18
922,14,0,20/03/2017 19:15
929,56,5110,20/03/2017 20:26
936,102,3500,21/03/2017 10:54
943,181,19565,21/03/2017 11:57
950,14,3850,21/03/2017 14:02
957,1734,0,21/03/2017 16:04
964,1726,8491,21/03/2017 17:13
971,259,11165,21/03/2017 19:50
978,89,0,21/03/2017 20:17
985,156,3486,21/03/2017 22:02
992,991,3276,22/03/2017 01:16
999,59,6342,22/03/2017 11:20
1006,902,2450,22/03/2017 12:44
1013,1079,0,22/03/2017 13:26
1020,259,4200,22/03/2017 15:40
1027,57,1743,22/03/2017 17:34
1034,1227,8225,22/03/2017 19:52
1041,14,5600,22/03/2017 21:25
1048,288,0,22/03/2017 21:54
1055,608,0,23/03/2017 00:01
1062,869,3675,23/03/2017 11:02
1069,14,6300,23/03/2017 12:59
1076,181,8225,23/03/2017 13:55
1083,196,7560,23/03/2017 15:48
1090,428,0,23/03/2017 17:24
1097,519,5565,23/03/2017 18:09
1104,1396,0,23/03/2017 19:28
1111,1369,1890,23/03/2017 22:37
1118,1814,3465,24/03/2017 09:49
1125,257,3535,24/03/2017 13:08
1132,170,658,24/03/2017 15:06
1139,259,3990,24/03/2017 16:36
1146,445,0,24/03/2017 19:02
1153,705,0,24/03/2017 22:22
1160,1996,66920,25/03/2017 02:44
1167,102,9800,25/03/2017 11:35
1174,1929,2275,25/03/2017 12:29
1181,56,6930,25/03/2017 15:39
1188,819,0,25/03/2017 17:42
1195,211,3290,25/03/2017 19:49
1202,519,2100,25/03/2017 22:28
1209,2150,0,26/03/2017 10:12
1216,765,1890,26/03/2017 12:45
1223,69,4550,26/03/2017 13:33
1230,1536,5460,26/03/2017 16:36
1237,105,10325,26/03/2017 23:06
1244,991,4200,27/03/2017 01:50
1251,6,1925,27/03/2017 12:20
1258,1013,3143,27/03/2017 13:21
1265,2230,3500,27/03/2017 15:38
1272,33,3290,27/03/2017 16:33
1279,100,2450,27/03/2017 18:15
1286,1939,7910,27/03/2017 20:38
1293,801,7210,28/03/2017 09:38
1300,189,2275,28/03/2017 11:12
1307,902,0,28/03/2017 14:32
1314,343,11893,28/03/2017 15:58
1321,102,2450,28/03/2017 18:24
1328,552,3563,28/03/2017 21:42
1335,170,2100,29/03/2017 10:06
1342,277,4550,29/03/2017 11:12
1349,156,3290,29/03/2017 14:32
1356,1040,33495,29/03/2017 16:06
1363,355,10815,29/03/2017 17:50
1370,217,6286,29/03/2017 20:52
1377,76,2310,29/03/2017 22:18
1384,249,0,29/03/2017 23:21
1391,319,9030,30/03/2017 08:32
1398,156,1225,30/03/2017 11:21
1405,56,3675,30/03/2017 13:09
1412,2292,3836,30/03/2017 15:01
1419,1814,2100,30/03/2017 15:24
1426,857,0,30/03/2017 17:10
1433,31,1260,30/03/2017 18:06
1440,1814,3556,30/03/2017 19:21
1447,89,3605,30/03/2017 20:08
1454,765,0,30/03/2017 21:16
1461,56,6643,30/03/2017 22:18
1468,345,11795,31/03/2017 09:12
1475,168,2093,31/03/2017 11:51
1482,31,5040,31/03/2017 12:56
1489,2111,7126,31/03/2017 14:16
1496,306,4620,31/03/2017 16:19
1503,85,2310,31/03/2017 17:13
1510,1193,2100,31/03/2017 18:39
1517,2595,0,31/03/2017 21:26
1524,52,6293,31/03/2017 22:48
1531,2265,1890,01/04/2017 03:31
1538,2673,2793,01/04/2017 11:15
1545,902,1918,01/04/2017 13:21
1552,1650,1862,01/04/2017 14:03
1559,96,2100,01/04/2017 15:17
1566,698,2100,01/04/2017 16:05
1573,91,0,01/04/2017 18:43
1580,2356,0,01/04/2017 21:34
1587,476,3150,01/04/2017 23:14
1594,31,4865,02/04/2017 11:29
1601,426,2100,02/04/2017 12:15
1608,393,16800,02/04/2017 13:17
1615,1178,2310,02/04/2017 15:23
1622,388,2100,02/04/2017 16:54
1629,196,2240,02/04/2017 20:06
1636,1405,2310,02/04/2017 21:15
1643,1034,5600,03/04/2017 07:18
1650,210,1890,03/04/2017 10:44
1657,156,11165,03/04/2017 12:00
1664,33,2310,03/04/2017 12:34
1671,2126,2240,03/04/2017 14:19
1678,1782,1540,03/04/2017 16:03
1685,2105,3150,03/04/2017 17:18
1692,83,1540,03/04/2017 18:53
1699,1310,6916,03/04/2017 20:00
1706,156,4900,03/04/2017 22:28
1713,59,3150,04/04/2017 04:54
1720,33,3080,04/04/2017 11:12
1727,2230,0,04/04/2017 12:08
1734,857,6930,04/04/2017 12:50
1741,102,4200,04/04/2017 13:56
1748,63,6300,04/04/2017 15:09
1755,2687,1540,04/04/2017 16:04
1762,2687,1540,04/04/2017 17:06
1769,2149,1540,04/04/2017 18:18
1776,142,2800,04/04/2017 20:53
1783,211,4620,04/04/2017 21:57
1790,1068,2310,05/04/2017 00:03
1797,2838,1540,05/04/2017 09:10
1804,2553,2100,05/04/2017 10:25
1811,58,0,05/04/2017 11:55
1818,76,3171,05/04/2017 13:59
1825,63,3493,05/04/2017 14:40
1832,2421,3150,05/04/2017 15:52
1839,2292,1540,05/04/2017 17:09
1846,870,2800,05/04/2017 19:29
1853,2608,1190,05/04/2017 19:59
1860,69,2800,05/04/2017 22:01
1867,388,6300,06/04/2017 00:20
1874,69,0,06/04/2017 09:55
1881,102,6125,06/04/2017 11:42
1888,2245,840,06/04/2017 12:20
1895,182,1617,06/04/2017 14:12
1902,1013,4900,06/04/2017 16:08
1909,58,3843,06/04/2017 18:02
1916,393,0,06/04/2017 18:36
1923,1178,3080,06/04/2017 21:40
1930,69,5950,06/04/2017 23:20
1937,1013,2450,07/04/2017 08:45
1944,476,2205,07/04/2017 09:56
1951,324,75600,07/04/2017 12:28
1958,156,3920,07/04/2017 14:17
1965,2292,1540,07/04/2017 15:35
1972,2289,4368,07/04/2017 16:24
1979,33,0,07/04/2017 17:54
1986,58,12600,07/04/2017 18:45
1993,187,6993,07/04/2017 21:34
2000,23,3143,07/04/2017 22:19
2007,519,707,08/04/2017 07:49
2014,2827,1890,08/04/2017 09:30
2021,113,840,08/04/2017 11:09
2028,2827,2975,08/04/2017 12:24
2035,340,9282,08/04/2017 12:52
2042,75,1743,08/04/2017 13:29
2049,722,707,08/04/2017 14:54
2056,1662,1540,08/04/2017 16:20
2063,2230,3150,08/04/2017 17:06
2070,2230,0,08/04/2017 17:54
2077,2891,4193,08/04/2017 19:08
2084,1819,3080,08/04/2017 20:47
2091,1034,1743,09/04/2017 07:58
2098,2687,3080,09/04/2017 12:52
2105,96,2310,09/04/2017 17:40
2112,95,4368,09/04/2017 21:25
2119,476,2800,09/04/2017 22:20
2126,105,5075,10/04/2017 07:19
2133,330,2695,10/04/2017 11:29
2140,142,8813,10/04/2017 12:29
2147,51,5950,10/04/2017 13:14
2154,181,9030,10/04/2017 14:10
2161,2421,1050,10/04/2017 15:58
2168,765,6650,10/04/2017 16:59
2175,445,2800,10/04/2017 17:29
2182,902,1575,10/04/2017 19:50
2189,55,9800,10/04/2017 21:30
2196,188,1925,10/04/2017 23:21
2203,286,1050,11/04/2017 08:09
